z-offset,c_hydrostatic,c_spring,resulting
-4.5,0.0,19607.56,19607.56
-4.0,-9023.81,24128.17,15104.36
-3.5,-40089.39,30302.0,-9787.39
-3.0,-93344.66,38958.85,-54385.81
-2.5,-168789.63,51423.53,-117366.1
-2.0,-266424.3,69754.87,-196669.43
-1.5,-338689.77,96740.65,-241949.13
-1.0,-413980.65,134238.69,-279741.95
-0.5,-453264.63,176267.47,-276997.16
0.0,-489415.35,199704.49,-289710.85
0.5,-460383.83,183444.49,-276939.34
1.0,-425342.59,142749.31,-282593.29
1.5,-353143.89,103407.3,-249736.59
2.0,-283893.55,74364.93,-209528.62
2.5,-186541.39,54539.45,-132001.94
3.0,-106658.48,41093.32,-65565.16
3.5,-48965.27,31800.93,-17164.34
4.0,-13461.75,25209.49,11747.74
4.5,-147.93,20407.85,20259.92
