Added mass,&omega;=0.1 rad/m,&omega;=2.31 rad/m,&omega;=4.52 rad/m,&omega;=6.73 rad/m,&omega;=8.94 rad/m,&omega;=11.16 rad/m,&omega;=13.37 rad/m,&omega;=15.58 rad/m,&omega;=17.79 rad/m,&omega;=20.0 rad/m
-0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.11249999999999999,11088.0,11088.0,11088.0,11088.0,11088.0,11088.0,11088.0,11088.0,11088.0,11088.0
-0.075,33027.0,33027.0,33027.0,33027.0,33027.0,33027.0,33027.0,33027.0,33027.0,33027.0
-0.037500000000000006,73028.0,73028.0,73028.0,73028.0,73028.0,73028.0,73028.0,73028.0,73028.0,73028.0
0.0,101906.0,101906.0,101906.0,101906.0,101906.0,101906.0,101906.0,101906.0,101906.0,101906.0
0.037500000000000006,146818.0,146818.0,146818.0,146818.0,146818.0,146818.0,146818.0,146818.0,146818.0,146818.0
0.07499999999999998,174545.0,174545.0,174545.0,174545.0,174545.0,174545.0,174545.0,174545.0,174545.0,174545.0
0.11250000000000002,211454.0,211454.0,211454.0,211454.0,211454.0,211454.0,211454.0,211454.0,211454.0,211454.0
0.15,229776.0,229776.0,229776.0,229776.0,229776.0,229776.0,229776.0,229776.0,229776.0,229776.0
