Added mass,&omega;=0.1 rad/m,&omega;=0.44 rad/m,&omega;=0.79 rad/m,&omega;=1.13 rad/m,&omega;=1.48 rad/m,&omega;=1.82 rad/m,&omega;=2.17 rad/m,&omega;=2.51 rad/m,&omega;=2.86 rad/m,&omega;=3.2 rad/m,&omega;=inf
-4.5,164682.0,170140.0,182749.0,198780.0,175343.0,95737.0,82771.0,121023.0,126456.0,114708.0,114708.0
-4.0,164682.0,170140.0,182749.0,198780.0,175343.0,95737.0,82771.0,121023.0,126456.0,114708.0,114708.0
-3.5,75101.0,77585.0,83932.0,95536.0,85083.0,26250.0,38910.0,56576.0,55129.0,48787.0,48787.0
-3.0,37482.0,38103.0,39690.0,44163.0,46294.0,24210.0,22021.0,27341.0,30625.0,30879.0,30879.0
-2.5,52542.0,53143.0,54001.0,53788.0,49868.0,53139.0,52481.0,49481.0,48023.0,48196.0,48196.0
-2.0,131784.0,136368.0,147512.0,162362.0,129037.0,67954.0,69300.0,83255.0,91537.0,95409.0,95409.0
-1.5,254657.0,264995.0,291255.0,329681.0,274334.0,126186.0,89459.0,110186.0,133769.0,149417.0,149417.0
-1.0,427870.0,445927.0,492503.0,563008.0,508984.0,290416.0,159029.0,130945.0,143396.0,166475.0,166475.0
-0.5,552597.0,574028.0,629409.0,714473.0,674366.0,444169.0,262693.0,190612.0,179717.0,188864.0,188864.0
0.0,672433.0,695309.0,755322.0,848165.0,831004.0,634503.0,440751.0,329230.0,278478.0,229528.0,229528.0
0.5,597037.0,614643.0,660969.0,736462.0,741202.0,603144.0,440059.0,333445.0,277969.0,256296.0,256296.0
1.0,509623.0,522096.0,555009.0,610837.0,628108.0,547668.0,429176.0,338833.0,283962.0,252674.0,252674.0
1.5,345482.0,352574.0,370772.0,403079.0,423129.0,390052.0,320201.0,257096.0,214514.0,188186.0,188186.0
2.0,214768.0,218251.0,227021.0,243164.0,257707.0,250607.0,220085.0,184973.0,157369.0,138345.0,138345.0
2.5,93566.0,94779.0,97608.0,103161.0,109983.0,112123.0,105209.0,92084.0,78900.0,68529.0,68529.0
3.0,33174.0,33505.0,34198.0,35564.0,37522.0,39362.0,39429.0,37075.0,33107.0,29009.0,29009.0
3.5,8157.0,8212.0,8313.0,8502.0,8803.0,9203.0,9574.0,9691.0,9428.0,8803.0,8803.0
4.0,838.0,840.0,849.0,856.0,870.0,887.0,909.0,938.0,964.0,985.0,985.0
4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
