diffraction force,&omega;=0.1 rad/m,&omega;=0.44 rad/m,&omega;=0.79 rad/m,&omega;=1.13 rad/m,&omega;=1.48 rad/m,&omega;=1.82 rad/m,&omega;=2.17 rad/m,&omega;=2.51 rad/m,&omega;=2.86 rad/m,&omega;=3.2 rad/m
-4.5,3389.0,64302.0,179904.0,311720.0,374874.0,252405.0,64672.0,-11253.0,-11212.0,-1914.0
-4.0,3389.0,64302.0,179904.0,311720.0,374874.0,252405.0,64672.0,-11253.0,-11212.0,-1914.0
-3.5,1826.0,35665.0,106536.0,208402.0,274928.0,95017.0,1629.0,3575.0,1370.0,-8533.0
-3.0,273.0,6454.0,26743.0,78201.0,138662.0,33489.0,683.0,2976.0,-6074.0,-17070.0
-2.5,-1326.0,-24487.0,-64070.0,-95430.0,-54440.0,10170.0,15299.0,21947.0,23634.0,17058.0
-2.0,-3011.0,-57785.0,-166088.0,-301506.0,-341052.0,-184294.0,-84797.0,-36565.0,-9540.0,1131.0
-1.5,-4247.0,-82176.0,-239906.0,-443119.0,-536552.0,-376072.0,-223085.0,-122144.0,-49189.0,-4609.0
-1.0,-5325.0,-103485.0,-303936.0,-560183.0,-707809.0,-613713.0,-451662.0,-288056.0,-126823.0,9019.0
-0.5,-5665.0,-110206.0,-323625.0,-593504.0,-762785.0,-706608.0,-544726.0,-342868.0,-124745.0,44022.0
0.0,-5747.0,-111801.0,-327504.0,-594967.0,-769575.0,-746311.0,-589798.0,-345512.0,-55718.0,142406.0
0.5,-4822.0,-93877.0,-275397.0,-503255.0,-666607.0,-670607.0,-549034.0,-341386.0,-82478.0,149526.0
1.0,-3877.0,-75524.0,-221782.0,-406832.0,-549872.0,-574071.0,-488043.0,-318965.0,-94055.0,117505.0
1.5,-2646.0,-51670.0,-152518.0,-283625.0,-397151.0,-437536.0,-396979.0,-293226.0,-140283.0,26506.0
2.0,-1658.0,-32453.0,-96281.0,-181230.0,-261690.0,-304135.0,-294907.0,-241075.0,-149477.0,-35237.0
2.5,-782.0,-15361.0,-46026.0,-88573.0,-133983.0,-168226.0,-179684.0,-167614.0,-135369.0,-86376.0
3.0,-301.0,-5944.0,-17984.0,-35291.0,-55449.0,-74609.0,-87758.0,-91791.0,-86677.0,-73932.0
3.5,-81.0,-1600.0,-4888.0,-9759.0,-15803.0,-22439.0,-28758.0,-33665.0,-36254.0,-36335.0
4.0,-9.0,-180.0,-555.0,-1125.0,-1867.0,-2751.0,-3737.0,-4774.0,-5786.0,-6695.0
4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
